# level, bonus_gem, prestige_points, ruby, emerald, sapphire, diamond, onyx
1,DIAMOND,0,1,1,1,0,1
1,DIAMOND,0,0,2,2,0,0
1,DIAMOND,0,0,0,3,0,0
1,DIAMOND,0,0,1,2,0,0
1,DIAMOND,0,2,0,0,0,1
1,DIAMOND,0,2,1,0,0,0
1,DIAMOND,0,1,0,0,0,2
1,DIAMOND,1,0,0,0,0,4
1,SAPPHIRE,0,1,1,0,1,1
1,SAPPHIRE,0,2,2,0,0,0
1,SAPPHIRE,0,0,3,0,0,0
1,SAPPHIRE,0,1,2,0,0,0
1,SAPPHIRE,0,0,0,0,1,2
1,SAPPHIRE,0,1,0,0,0,2
1,SAPPHIRE,0,0,0,0,2,1
1,SAPPHIRE,1,0,0,0,4,0
1,EMERALD,0,1,0,1,1,1
1,EMERALD,0,2,0,0,0,2
1,EMERALD,0,3,0,0,0,0
1,EMERALD,0,2,0,0,0,1
1,EMERALD,0,0,0,1,2,0
1,EMERALD,0,0,0,0,2,1
1,EMERALD,0,0,0,2,1,0
1,EMERALD,1,0,0,4,0,0
1,RUBY,0,0,1,1,1,1
1,RUBY,0,0,0,0,2,2
1,RUBY,0,0,0,0,0,3
1,RUBY,0,0,0,0,1,2
1,RUBY,0,0,1,2,0,0
1,RUBY,0,0,0,2,1,0
1,RUBY,0,0,2,1,0,0
1,RUBY,1,0,4,0,0,0
1,ONYX,0,1,1,1,1,0
1,ONYX,0,0,0,2,2,0
1,ONYX,0,0,0,0,3,0
1,ONYX,0,0,0,1,2,0
1,ONYX,0,1,2,0,0,0
1,ONYX,0,0,2,1,0,0
1,ONYX,0,2,1,0,0,0
1,ONYX,1,4,0,0,0,0
